ticker,secid,file,option_rows,option_min,option_max,overlap_dates,overlap_rows,valid_iv_rows,valid_mid_rows,valid_forward_rows,valid_pricing_rows,calls,puts,atm_valid_rows,valid_pricing_dates,oos_dates,oos_rows
MU,107544,MU_107544_options.csv,535943,2017-01-03,2019-06-28,626,535943,492496,535943,535929,492496,267971,267972,30784,626,2091,30045
NAVI,204016,NAVI_204016_options.csv,64119,2017-01-03,2019-06-28,626,64119,51266,64119,64051,51266,32060,32059,994,626,1024,14876
NCLH,161182,NCLH_161182_options.csv,138480,2017-01-03,2019-06-28,626,138480,127197,138480,138476,127197,69240,69240,6581,626,1332,16020
NDAQ,115885,NDAQ_115885_options.csv,93571,2017-01-03,2019-06-28,626,93571,80479,93571,92739,80479,46786,46785,6417,626,2333,33675
NEE,104560,NEE_104560_options.csv,164826,2017-01-03,2019-06-28,626,164826,143404,164826,164769,143404,82413,82413,9278,626,2333,33675
NEM,108130,NEM_108130_options.csv,476307,2017-01-03,2019-06-28,626,476307,407406,476307,465619,407406,238153,238154,30530,626,2091,29935
NFLX,115422,NFLX_115422_options.csv,1014919,2017-01-03,2019-06-28,626,1014919,926532,1014917,1014872,926532,507459,507460,52168,626,2091,30045
NI,108166,NI_108166_options.csv,91178,2017-01-03,2019-06-28,626,91178,73217,91178,89427,73217,45589,45589,5090,626,2333,33675
NKE,108161,NKE_108161_options.csv,496660,2017-01-03,2019-06-28,626,496660,432347,496659,496526,432346,248329,248331,48861,626,2333,33543
NLSN,145873,NLSN_145873_options.csv,1341724,2011-02-03,2019-06-28,235,68352,54348,68352,68352,54348,34176,34176,3068,235,231,3465
NOC,108231,NOC_108231_options.csv,628665,2017-01-03,2019-06-28,626,628665,548133,628665,627743,548133,314331,314334,47806,626,2091,30045
NOV,107939,NOV_107939_options.csv,444002,2017-01-03,2019-06-28,626,444002,383266,444002,443965,383266,222000,222002,28512,626,2091,30045
NRG,119846,NRG_119846_options.csv,303406,2017-01-03,2019-06-28,626,303406,269511,303406,303377,269511,151703,151703,18299,626,2333,33675
NSC,108186,NSC_108186_options.csv,528206,2017-01-03,2019-06-28,626,528206,464744,528206,528197,464744,264103,264103,39718,626,2091,30045
NTAP,108055,NTAP_108055_options.csv,477279,2017-01-03,2019-06-28,626,477279,417117,477279,476220,417117,238629,238650,40007,626,2333,33675
NTRS,108226,NTRS_108226_options.csv,94756,2017-01-03,2019-06-28,626,94756,81975,94756,94597,81975,47378,47378,5127,626,2333,33675
NUE,108279,NUE_108279_options.csv,452575,2017-01-03,2019-06-28,626,452575,397841,452575,452543,397841,226286,226289,41879,626,2333,33675
NVDA,108321,NVDA_108321_options.csv,6454832,2010-01-04,2019-06-28,2382,6450128,5553424,6450128,6447620,5553424,3225048,3225080,309220,2382,2333,33675
NWL,108120,NWL_108120_options.csv,196434,2017-01-03,2019-06-28,626,196434,170038,196434,196252,170038,98217,98217,7183,626,2333,33675
NWSA,166742,NWSA_166742_options.csv,85788,2017-01-03,2019-06-28,626,85788,64418,85788,81685,64418,42894,42894,2443,626,1229,16983
O,109507,O_109507_options.csv,120090,2017-01-03,2019-06-28,626,120090,103295,120090,119824,103295,60046,60044,6102,626,2333,33675
OKE,108463,OKE_108463_options.csv,447563,2017-01-03,2019-06-28,626,447563,363325,447563,430490,363325,223781,223782,41752,626,2333,33675
OMC,108429,OMC_108429_options.csv,136769,2017-01-03,2019-06-28,626,136769,120010,136769,136398,120010,68385,68384,7895,626,2333,33675
ORCL,108505,ORCL_108505_options.csv,439350,2017-01-03,2019-06-28,626,439350,378569,439350,439242,378569,219674,219676,33582,626,2333,33675
ORLY,108529,ORLY_108529_options.csv,211941,2017-01-03,2019-06-28,626,211941,184491,211941,203514,184491,105971,105970,7603,626,2333,33675
OXY,108385,OXY_108385_options.csv,512498,2017-01-03,2019-06-28,626,512498,426912,512498,496184,426912,256247,256251,47661,626,2333,33675
PAYX,108804,PAYX_108804_options.csv,143666,2017-01-03,2019-06-28,626,143666,125315,143666,143658,125315,71833,71833,8098,626,2333,33675
PCAR,108670,PCAR_108670_options.csv,144002,2017-01-03,2019-06-28,626,144002,128544,144002,143951,128544,72001,72001,7521,626,2333,33675
PCG,108609,PCG_108609_options.csv,317808,2017-01-03,2019-06-28,626,317808,268680,317808,314952,268680,158903,158905,16763,626,2333,33653
PEG,109285,PEG_109285_options.csv,51132,2017-01-03,2019-06-28,626,51132,39590,51132,50736,39590,25566,25566,2154,626,2333,33675
PEP,108893,PEP_108893_options.csv,500676,2017-01-03,2019-06-28,626,500676,424674,500676,500618,424674,250337,250339,43389,626,2333,33675
PFE,108948,PFE_108948_options.csv,429530,2017-01-03,2019-06-28,626,429530,359311,429530,429347,359311,214764,214766,32296,626,2091,30023
PFG,113096,PFG_113096_options.csv,63646,2017-01-03,2019-06-28,626,63646,51226,63646,62846,51226,31823,31823,2121,626,2333,33675
PG,109224,PG_109224_options.csv,546823,2017-01-03,2019-06-28,626,546823,462870,546823,546810,462870,273414,273409,61123,626,2333,33543
PGR,109245,PGR_109245_options.csv,134386,2017-01-03,2019-06-28,626,134386,119200,134386,133897,119200,67193,67193,8070,626,2333,33675
PH,108768,PH_108768_options.csv,170719,2017-01-03,2019-06-28,626,170719,152769,170719,170716,152769,85360,85359,8725,626,2091,30045
PHM,109297,PHM_109297_options.csv,375706,2017-01-03,2019-06-28,626,375706,318204,375706,375679,318204,187853,187853,21968,626,2333,33675
PKG,108706,PKG_108706_options.csv,104474,2017-01-03,2019-06-28,626,104474,89104,104474,103400,89104,52236,52238,5022,626,2333,33631
PLD,100906,PLD_100906_options.csv,74642,2017-01-03,2019-06-28,626,74642,54818,74642,67454,54818,37319,37323,2985,626,2091,30045
PM,135403,PM_135403_options.csv,544521,2017-01-03,2019-06-28,626,544521,461249,544521,544177,461249,272260,272261,49799,626,2091,30045
PNC,108642,PNC_108642_options.csv,321299,2017-01-03,2019-06-28,626,321299,280394,321299,320860,280394,160649,160650,25005,626,2333,33675
PNR,108861,PNR_108861_options.csv,61254,2017-01-03,2019-06-28,626,61254,44033,61254,53838,44033,30627,30627,2009,625,2091,30045
PNW,109024,PNW_109024_options.csv,82894,2017-01-03,2019-06-28,626,82894,61670,82894,79330,61670,41447,41447,3556,626,2333,33675
