ticker,RIC,esg_lag_year,option_first,first_252_return_date,esg_date,oos_start
ULTA,ULTA.O,2011.0,2007-11-09,2010-01-12,2011-01-01,2011-01-01
UNH,UNH,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
UNM,UNM,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
UNP,UNP,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
UPS,UPS,2011.0,2000-02-17,2010-01-12,2011-01-01,2011-01-01
URI,URI,2014.0,1998-07-30,2010-01-12,2014-01-01,2014-01-01
USB,USB,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
V,V,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
VFC,VFC,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
VIAB,VIAB.W^E14,2011.0,2006-01-03,2013-01-07,2011-01-01,2013-01-07
VLO,VLO,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
VMC,VMC,2010.0,1998-07-15,2010-01-12,2010-01-01,2010-01-12
VNO,VNO,2010.0,1997-12-17,2010-01-12,2010-01-01,2010-01-12
VRSK,VRSK.O,2010.0,2009-10-15,2010-10-14,2010-01-01,2010-10-14
VRSN,VRSN.O,2011.0,1998-08-05,2010-01-12,2011-01-01,2011-01-01
VRTX,VRTX.O,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
VTR,VTR,2010.0,1997-11-24,2010-01-12,2010-01-01,2010-01-12
VZ,VZ,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
WAT,WAT,2010.0,1996-02-23,2010-01-12,2010-01-01,2010-01-12
WBA,WBA.AX^B20,2015.0,1996-01-04,2010-03-31,2015-01-01,2015-01-01
WDC,WDC.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
WEC,WEC,2010.0,1997-06-02,2010-01-12,2010-01-01,2010-01-12
WELL,WELL.K,2010.0,1998-07-15,2010-01-12,2010-01-01,2010-01-12
WFC,WFC,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
WHR,WHR,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
WLTW,WTW.O,2010.0,2001-10-04,2010-01-12,2010-01-01,2010-01-12
WM,WM,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
