ticker,RIC,price_obs,price_first,price_last
TROW,TROW.O,2640,2009-01-02,2019-06-28
TRV,TRV,2640,2009-01-02,2019-06-28
TSCO,TSCO.O,2640,2009-01-02,2019-06-28
TSN,TSN,2640,2009-01-02,2019-06-28
TSS,TSS.W^E14,726,2009-05-04,2014-04-25
TWX,TWX.N^F18,2379,2009-01-02,2018-06-14
TXN,TXN.O,2640,2009-01-02,2019-06-28
TXT,TXT,2640,2009-01-02,2019-06-28
UAA,UAA,2640,2009-01-02,2019-06-28
UAL,UAL.O,2640,2009-01-02,2019-06-28
UDR,UDR,2640,2009-01-02,2019-06-28
UHS,UHS,2640,2009-01-02,2019-06-28
ULTA,ULTA.O,2640,2009-01-02,2019-06-28
UNH,UNH,2640,2009-01-02,2019-06-28
UNM,UNM,2640,2009-01-02,2019-06-28
UNP,UNP,2640,2009-01-02,2019-06-28
UPS,UPS,2640,2009-01-02,2019-06-28
URI,URI,2640,2009-01-02,2019-06-28
USB,USB,2640,2009-01-02,2019-06-28
UTX,UTX.PH^B09,0,,
V,V,2640,2009-01-02,2019-06-28
VAR,VAR.B^J07,0,,
VFC,VFC,2640,2009-01-02,2019-06-28
VIAB,VIAB.W^E14,587,2010-02-25,2014-04-09
VLO,VLO,2640,2009-01-02,2019-06-28
VMC,VMC,2640,2009-01-02,2019-06-28
VNO,VNO,2640,2009-01-02,2019-06-28
VRSK,VRSK.O,2448,2009-10-07,2019-06-28
VRSN,VRSN.O,2640,2009-01-02,2019-06-28
VRTX,VRTX.O,2638,2009-01-02,2019-06-28
VTR,VTR,2640,2009-01-02,2019-06-28
VZ,VZ,2640,2009-01-02,2019-06-28
WAT,WAT,2640,2009-01-02,2019-06-28
WBA,WBA.AX^B20,2318,2009-01-02,2019-06-28
WDC,WDC.O,2640,2009-01-02,2019-06-28
WEC,WEC,2640,2009-01-02,2019-06-28
WELL,WELL.K,2640,2009-01-02,2019-06-28
WFC,WFC,2640,2009-01-02,2019-06-28
WHR,WHR,2640,2009-01-02,2019-06-28
WLTW,WTW.O,2640,2009-01-02,2019-06-28
WM,WM,2640,2009-01-02,2019-06-28
WMB,WMB,2640,2009-01-02,2019-06-28
WMT,WMT.O,2640,2009-01-02,2019-06-28
WRK,01WRKH3^1,0,,
WU,WU,2640,2009-01-02,2019-06-28
WY,WY,2640,2009-01-02,2019-06-28
WYND,WYNDZ3^1,0,,
WYNN,WYNN.O,2640,2009-01-02,2019-06-28
XEC,XEC.W^E14,855,2009-01-02,2014-04-25
XEL,XEL.O,2640,2009-01-02,2019-06-28
XL,0#XLW+,0,,
XLNX,XLNX.B^J07,0,,
XOM,XOM,2640,2009-01-02,2019-06-28
XRAY,XRAY.O,2640,2009-01-02,2019-06-28
XRX,XRX.O,2640,2009-01-02,2019-06-28
XYL,XYL,1939,2011-10-13,2019-06-28
YUM,YUM,2640,2009-01-02,2019-06-28
ZBH,ZBH,2640,2009-01-02,2019-06-28
ZION,ZION.O,2640,2009-01-02,2019-06-28
ZTS,ZTS,1613,2013-02-01,2019-06-28
