ticker,rows,first_date,last_date,universe_source,status
PSA,564020,19961224,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PSX,1256477,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PVH,634400,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PWR,622221,20000511,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PXD,1783154,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
PYPL,797938,20150720,20190628,raw_options,PENDING_LSEG_RECONCILIATION
QCOM,1978796,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
QRVO,338876,20150102,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RCL,1264702,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RE,537256,19960110,20190628,raw_options,PENDING_LSEG_RECONCILIATION
REG,288093,20031014,20190628,raw_options,PENDING_LSEG_RECONCILIATION
REGN,2627032,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RF,584798,19970310,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RHI,315138,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RHT,1348044,20000118,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RJF,404681,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RL,1276473,19970919,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RMD,368435,19981124,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ROK,565063,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ROP,493022,19960311,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ROST,864727,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RRC,997859,19960509,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RSG,346723,19980716,20190628,raw_options,PENDING_LSEG_RECONCILIATION
RTN,1066888,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SBAC,433618,20000308,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SBUX,1523010,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SCG,272811,19960104,20181231,raw_options,PENDING_LSEG_RECONCILIATION
SCHW,1271233,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SEE,664342,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SHW,974567,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SIG,495895,20090716,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SJM,454168,20020610,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SLB,2056926,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SLG,380176,20070130,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SNA,423645,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SNPS,380726,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SO,881029,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SPG,963590,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SPGI,961809,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SPX,17369353,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SRCL,483474,19990309,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SRE,438633,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
STI,850616,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
STT,1021671,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
STX,1570064,20030121,20190628,raw_options,PENDING_LSEG_RECONCILIATION
STZ,914553,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SWK,956259,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SWKS,1675195,19961009,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SYF,696624,20140812,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SYK,787591,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SYMC,1171481,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
SYY,893773,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
T,2199291,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TAP,1128876,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TDG,627345,20070503,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TEL,249999,20070702,20190628,raw_options,PENDING_LSEG_RECONCILIATION
TGT,1649618,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
