ticker,rows,first_date,last_date,universe_source,status,RIC,DocumentTitle,mapping_status
GOOG,3415085,20140403,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GOOG.O,"Alphabet Inc., Ordinary Share, Class C, NASDAQ Global Select Consolidated",MAPPED
GOOGL,6772887,20040827,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GOOGL.O,"Alphabet Inc., Ordinary Share, Class A, NASDAQ Global Select Consolidated",MAPPED
GPC,589944,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GPC,"Genuine Parts Co, Ordinary Share, NYSE Consolidated",MAPPED
GPN,373646,20020328,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GPN,"Global Payments Inc, Ordinary Share, NYSE Consolidated",MAPPED
GPS,1590307,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,1GPSZ1m,"GC/PL SPFUT DEC1, Commodity Future, Commodities Exchange Centre (CEC)",MAPPED
GRMN,1085049,20010315,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GRMN.K,"Garmin Ltd., Ordinary Share, NYSE Consolidated",MAPPED
GS,2337096,19990811,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GS,"Goldman Sachs Group Inc, Ordinary Share, NYSE Consolidated",MAPPED
GT,1347024,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GT.O,"Goodyear Tire & Rubber Co, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
GWW,990672,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,GWW,"WW Grainger Inc, Ordinary Share, NYSE Consolidated",MAPPED
HAL,1782712,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HAL,"Halliburton Company, Ordinary Share, NYSE Consolidated",MAPPED
HAS,1130207,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HAS.O,"Hasbro, Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
HBAN,482139,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HBAN.O,"Huntington Bancshares Inc, Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
HBI,358372,20060906,20190628,raw_options,PENDING_LSEG_RECONCILIATION,01HIBQ5,"New York Mercantile Excahnge Henry Hub Combo Electronic Energy Future Aug 2015, Commodity Future, New York Mercantile Exchange (NYMEX)",MAPPED
HCA,1580693,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HCA,"HCA Healthcare, Inc., Ordinary Share, NYSE Consolidated",MAPPED
HCP,340084,19991105,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HCP.B^J07,"Healthpeak Properties Ord Shs, Ordinary Share, Delisted, Boston Stock Exchange Inc",MAPPED
HD,1940770,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HD,"The Home Depot, Inc., Ordinary Share, NYSE Consolidated",MAPPED
HES,1784058,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HES.PH^B09,"Hess Ord Shs, Ordinary Share, Delisted, NASDAQ OMX PSX",MAPPED
HIG,1432927,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HIG,"The Hartford Insurance Group, Inc., Ordinary Share, NYSE Consolidated",MAPPED
HII,311447,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HII,"HUNTINGTON INGALLS INDUSTRIES, INC., Ordinary Share, NYSE Consolidated",MAPPED
HLT,536164,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HLT,"Hilton Worldwide Holdings Inc., Ordinary Share, NYSE Consolidated",MAPPED
HOG,1202903,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HOG,"Harley-Davidson, Inc., Ordinary Share, NYSE Consolidated",MAPPED
HOLX,716805,19960329,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HOLX.B^J07,"Hologic Ord Shs, Ordinary Share, Delisted, Boston SE when trading NASDAQ Global Select Market",MAPPED
HON,1351393,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HON.O,"Honeywell International Inc., Ordinary Share, NASDAQ Global Select Consolidated",MAPPED
HP,795930,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HP,"Helmerich & Payne, Inc., Ordinary Share, NYSE Consolidated",MAPPED
HPE,543522,20151103,20190628,raw_options,PENDING_LSEG_RECONCILIATION,HPE,"Hewlett Packard Enterprise Company, Ordinary Share, NYSE Consolidated",MAPPED
